@relation 'cpu-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@attribute -0.469MMAX-0.435CHMIN-0.429CACH-0.427MMIN-0.374CHMAX... numeric
@attribute 0.682MYCT+0.559CHMAX-0.333MMIN+0.275CHMIN+0.152CACH... numeric
@attribute 0.669MYCT+0.548MMIN-0.426CHMAX+0.264MMAX-0.03CHMIN... numeric
@attribute 0.714CACH-0.477MMAX-0.436CHMAX+0.255CHMIN-0.088MMIN... numeric
@attribute 0.812CHMIN-0.519CACH-0.226CHMAX-0.135MMAX-0.045MYCT... numeric
@attribute class numeric

@data
-4.303722,3.749603,-2.438755,2.94005,-2.478006,198
-2.048678,-0.641802,0.494327,-0.907845,-0.004292,269
-2.048678,-0.641802,0.494327,-0.907845,-0.004292,220
-2.048678,-0.641802,0.494327,-0.907845,-0.004292,172
-1.178297,-0.830082,0.396192,0.011111,0.319242,132
-2.389564,-0.530233,0.502321,-0.345445,-0.412296,318
-3.785293,-0.902548,1.588791,-0.22822,0.558597,367
-3.785293,-0.902548,1.588791,-0.22822,0.558597,489
-5.065495,-1.213874,2.309975,-1.529748,0.189463,636
-8.985915,-1.016027,4.004815,-0.708124,1.035223,1144
1.512524,0.167348,0.312836,0.071709,0.085761,38
1.446526,0.305292,0.191547,0.065682,-0.006863,40
0.0515,-0.486753,-0.373249,0.921995,-0.792598,92
-0.500056,-0.762492,0.06376,0.552177,-0.878844,138
1.648618,0.188202,-0.046752,0.18406,0.108937,10
0.199997,0.324305,-0.482275,-0.816034,0.066394,35
0.882282,0.037402,-0.598088,0.182006,0.279173,19
0.384957,0.402793,-0.889901,-0.250678,0.560633,28
0.809222,-0.034439,-0.617289,0.053735,0.496961,31
-2.168577,1.189171,-0.800635,1.645936,-1.395603,120
0.351824,0.224745,-0.712236,-0.400718,0.309466,30
0.352244,-0.169596,-0.291725,-0.231885,0.418284,33
-0.256748,0.885216,-1.130873,-0.913873,0.153554,61
-0.381661,0.73004,-1.102687,-0.928644,0.16101,76
1.255523,0.218294,-0.112232,-0.189817,-0.023668,23
1.460579,0.045706,0.001436,0.185262,0.050402,69
1.327775,0.078327,0.004263,-0.092155,0.028719,33
1.448779,0.057954,-0.012175,0.15041,0.038316,27
1.311775,0.059512,0.03624,0.02972,-0.001575,77
1.325589,0.102985,-0.016311,0.018779,-0.010811,27
-1.325236,0.566563,-0.960639,2.462102,-0.396871,274
-1.325236,0.566563,-0.960639,2.462102,-0.396871,368
-0.6908,0.0662,-0.583857,0.335947,0.80034,32
-0.6908,0.0662,-0.583857,0.335947,0.80034,63
-1.392456,-0.245051,0.037918,-0.150901,0.683922,106
-1.383543,-0.224082,0.05847,-0.151729,0.682532,208
1.104486,-0.624545,-0.708316,0.266999,0.037557,20
0.95499,-0.66543,-0.609045,0.157524,0.006875,29
0.684783,-0.790194,-0.377695,-0.027904,-0.037117,71
0.827256,-0.584847,-0.617904,0.232225,0.245169,26
0.667231,-0.623763,-0.527756,0.069534,0.199027,36
0.236999,-0.787443,-0.206258,-0.278584,0.108893,40
0.222606,-0.765946,-0.222662,-0.295346,0.100208,52
0.222606,-0.765946,-0.222662,-0.295346,0.100208,60
0.488387,-0.290918,-0.338719,-0.201522,0.064894,72
0.648412,-0.252002,-0.428867,-0.038831,0.111036,72
2.05265,1.316475,1.261456,0.298818,-0.051301,18
1.903719,1.201059,1.427583,-0.035339,0.000108,20
1.191756,0.030325,0.103851,-0.092298,-0.036182,40
0.972683,-0.204793,-0.251671,-0.059894,-0.092445,62
1.729012,0.93643,1.125629,-0.131959,-0.016702,24
1.983153,1.005792,0.972334,0.114988,0.052236,24
0.51959,-0.55941,-0.070663,-0.165825,-0.231955,138
1.089655,-0.405523,-0.088269,-0.11094,0.062848,36
0.980633,-0.542793,-0.401772,0.342117,-0.079629,26
0.660582,-0.620625,-0.221476,0.016735,-0.171913,60
0.943168,-0.293384,-0.029039,0.168033,-0.144892,71
1.811356,1.274021,1.31524,-0.189692,-0.060416,12
1.811356,1.274021,1.31524,-0.189692,-0.060416,14
1.811356,1.274021,1.31524,-0.189692,-0.060416,20
1.811356,1.274021,1.31524,-0.189692,-0.060416,16
1.811356,1.274021,1.31524,-0.189692,-0.060416,22
0.633771,0.176863,-0.833876,0.152372,0.833275,36
-0.353015,0.193723,-0.827313,0.400017,-1.043001,144
-0.673065,0.115892,-0.647017,0.074635,-1.135284,144
-1.34815,0.354758,-0.615615,1.198813,-1.952336,259
1.08624,-0.309321,-0.773754,0.142684,0.329928,17
1.062947,-0.279733,-0.712683,0.100457,0.315785,26
0.699464,-0.062112,-0.792205,-0.232472,0.172718,32
0.576859,-0.225583,-0.56506,-0.030876,0.116163,32
0.311446,-0.235651,-0.633998,-0.27427,0.031809,62
-0.144156,0.194415,-0.886483,-0.699294,-0.174491,64
0.939444,0.204697,-0.762506,-0.141461,0.182022,22
0.790697,0.59953,-0.359844,-0.094669,0.5073,36
0.727408,0.621923,-0.3569,0.010723,0.430702,44
0.367351,0.534363,-0.154067,-0.355332,0.326882,50
1.050023,0.383479,-0.303891,-0.342431,-0.105738,45
0.728996,0.365871,-0.186141,-0.533355,-0.269678,53
0.880167,0.693087,-0.488535,0.1146,0.45521,36
0.452236,0.168844,-0.555018,-0.646991,-0.308791,84
1.341879,0.067153,0.095773,0.082786,0.199704,16
0.256644,1.338724,-0.943478,-0.782626,-0.310725,38
-0.850406,2.213512,-1.455976,-2.112625,-0.985196,38
1.474537,-0.006402,0.110473,0.119632,0.109464,16
1.209221,0.140708,0.081073,0.04594,0.289945,22
0.887344,-0.443155,-0.265826,0.042883,0.325121,29
0.794692,-0.359871,-0.303062,0.046709,0.426897,40
0.729197,-0.19293,-0.482691,-0.125964,-0.1369,35
-0.644137,-0.375766,0.160121,-0.843235,-0.766287,134
-0.17333,0.588607,-0.938489,-0.436996,-0.78474,66
-1.133482,0.355112,-0.397601,-1.413142,-1.061591,141
-1.133482,0.355112,-0.397601,-1.413142,-1.061591,189
0.729197,-0.19293,-0.482691,-0.125964,-0.1369,22
-0.194076,-0.695567,-0.03742,-0.453021,0.497984,132
-1.619435,-0.210531,0.081595,0.485266,0.281555,237
-3.66681,-1.066656,1.727726,-0.094434,0.627559,465
-3.155875,-1.388987,1.763162,-0.39324,-0.325617,465
-1.599338,-0.94107,0.602148,-1.335527,0.474239,277
-0.844097,-0.957378,0.372784,-0.550667,0.728289,185
1.815191,0.457355,0.351037,0.201933,0.107297,6
1.289858,-0.274797,-0.264995,0.0825,0.105483,24
0.90239,-0.421266,-0.478374,0.204301,-0.13936,45
2.420623,2.037134,2.024793,0.088075,-0.010975,7
2.372414,2.010292,2.072209,0.061918,-0.016193,13
1.815322,0.699725,0.787734,0.113704,0.070718,16
1.376729,0.050275,0.492978,0.025062,0.08506,32
0.99634,-0.160337,0.865529,-0.183101,0.043217,32
2.149628,1.497374,1.552237,0.101268,0.02192,11
2.203397,1.539267,1.483331,0.112364,0.020871,11
1.987417,1.483116,1.621811,0.049511,-0.063752,18
1.945224,1.498045,1.623773,0.119772,-0.114817,22
1.734124,1.548907,1.686576,-0.035833,0.193016,37
0.897664,-0.1905,-0.04354,0.174601,0.208214,40
0.897664,-0.1905,-0.04354,0.174601,0.208214,34
0.815235,-0.42795,-0.060135,-0.05813,-0.068399,50
0.416369,-0.462818,0.136931,-0.243508,-0.263683,76
0.410798,-0.475923,0.124086,-0.24299,-0.262814,66
1.071135,-0.127046,-0.187685,0.091946,0.282663,24
0.511296,-0.916135,-0.335367,-0.171243,-0.070228,49
0.284784,-0.784197,-0.356705,0.027218,0.057249,66
-0.312481,-0.774287,-0.136744,-0.325921,0.415572,100
-0.565638,-0.684712,-0.124968,0.095646,0.109177,133
2.936353,3.006687,3.098084,0.040573,-0.184648,12
2.896347,2.996958,3.120621,-0.0001,-0.196183,18
